1,-0.5,-0.5,1.4142
2,0.082249,0.19627,0.5165
3,0.040739,-0.40618,1.0159
4,0.36994,0.025404,0.49209
5,-0.23522,0.030344,0.87243
6,-0.38079,-0.015147,1.0204
7,0.43983,-0.10654,0.60952
8,0.14555,0.17143,0.48331
9,-0.020537,0.24126,0.5813
10,0.13932,0.020052,0.60037
11,0.044716,-0.15229,0.79546
12,0.14731,-0.35,0.92027
13,0.22105,-0.23785,0.78882
14,0.022495,-0.45555,1.0682
15,0.4937,0.25493,0.24515
16,-0.3942,-0.057598,1.0538
17,-0.3903,0.1878,0.94346
18,-0.43641,-0.14077,1.1347
19,-0.09542,0.23634,0.65118
20,-0.051627,-0.10529,0.81895
21,-0.13418,0.18342,0.70881
22,0.1279,-0.057695,0.67044
23,0.27198,-0.48042,1.0066
24,0.43285,-0.16914,0.6725
25,0.47274,-0.075691,0.57634
26,-0.36113,-0.30295,1.1774
27,0.5,0.5,0
