1,6,0.49929
1,16,0.45488
1,18,0.36481
1,26,0.24107
2,4,0.3346
2,7,0.46857
2,8,0.068
2,9,0.1122
2,10,0.18522
2,13,0.45577
2,19,0.18213
2,25,0.47586
3,10,0.43748
3,11,0.25392
3,12,0.12047
3,13,0.24667
3,14,0.052629
3,20,0.31475
3,22,0.35922
3,23,0.24287
4,7,0.14931
4,8,0.26772
4,9,0.44617
4,10,0.23069
4,11,0.3706
4,12,0.43646
4,13,0.30245
4,15,0.26077
4,22,0.25591
4,24,0.20447
4,25,0.14418
4,27,0.49209
5,6,0.15251
5,9,0.30095
5,11,0.33424
5,16,0.18168
5,17,0.221
5,18,0.26412
5,19,0.24896
5,20,0.22826
5,21,0.18341
6,9,0.44218
6,11,0.44706
6,16,0.044521
6,17,0.20317
6,18,0.13739
6,19,0.38037
6,20,0.34128
6,21,0.31661
7,8,0.40481
7,10,0.32609
7,11,0.39775
7,15,0.36547
7,20,0.49146
7,22,0.31573
7,24,0.062986
7,25,0.045112
8,9,0.18017
8,10,0.15151
8,13,0.41619
8,19,0.24956
8,22,0.2298
8,24,0.44557
8,25,0.41003
9,16,0.47848
9,19,0.075045
9,21,0.12752
10,11,0.1966
10,12,0.37014
10,13,0.27055
10,14,0.48974
10,22,0.078581
10,24,0.34923
10,25,0.3469
11,12,0.22275
11,13,0.196
11,14,0.30407
11,16,0.44902
11,20,0.10719
11,22,0.12596
11,23,0.39915
11,24,0.3885
11,25,0.43482
12,13,0.13422
12,14,0.16346
12,20,0.31537
12,22,0.29295
12,23,0.18042
13,14,0.29464
13,20,0.30319
13,22,0.20282
14,20,0.35801
14,22,0.41158
14,23,0.25072
15,24,0.42842
15,25,0.33129
15,27,0.24515
16,17,0.24542
16,18,0.09327
16,19,0.41913
16,20,0.34588
16,21,0.35454
17,18,0.33179
17,20,0.44789
17,21,0.25616
18,21,0.44321
19,21,0.065602
20,23,0.49542
20,24,0.48867
22,24,0.32468
22,25,0.34531
24,25,0.10161
