0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.064659581737288342e-05,-9.996306769576158713e-01,-4.261677644721181238e-04,7.285009084115222279e-05,4.357354168054240523e-05,-1.600536875318114450e-05
2.419397874521186367e-04,-9.988920308728476138e-01,-1.278503293416354426e-03,2.185502725234566819e-04,1.307206250416272021e-04,-4.801610625954343689e-05
4.838795749042372734e-04,-9.977840617456952277e-01,-2.557006586832708851e-03,4.371005450469133639e-04,2.614412500832544043e-04,-9.603221251908687379e-05
8.064659581737288613e-04,-9.963067695761586018e-01,-4.261677644721181130e-03,7.285009084115222008e-04,4.357354168054240252e-04,-1.600536875318114382e-04
1.209698937260593292e-03,-9.944601543642378472e-01,-6.392516467081771694e-03,1.092751362617283301e-03,6.536031252081360649e-04,-2.400805312977171845e-04
1.693578512164830565e-03,-9.922442161099329638e-01,-8.949523053914479678e-03,1.529851907664196665e-03,9.150443752913904692e-04,-3.361127438168040583e-04
2.258104682886440465e-03,-9.896589548132439518e-01,-1.193269740521930682e-02,2.039802543552262509e-03,1.220059167055187292e-03,-4.481503250890720596e-04
2.903277449425423207e-03,-9.867043704741708110e-01,-1.534203952099625137e-02,2.622603270281480617e-03,1.568647500499526642e-03,-5.761932751145212427e-04
3.629096811781779008e-03,-9.833804630927135415e-01,-1.917754940124531335e-02,3.278254087851850771e-03,1.960809375624408303e-03,-7.202415938931516076e-04
4.435562769955507870e-03,-9.796872326688720323e-01,-2.343922704596649448e-02,4.006754996263373406e-03,2.396544792429832274e-03,-8.802952814249631001e-04
5.322675323946609791e-03,-9.756246792026463943e-01,-2.812707245515979476e-02,4.808105995516048087e-03,2.875853750915798555e-03,-1.056354337709955720e-03
6.290434473755083904e-03,-9.711928026940366276e-01,-3.324108562882521073e-02,5.682307085609874381e-03,3.398736251082307147e-03,-1.248418762748129468e-03
7.338840219380931076e-03,-9.663916031430427322e-01,-3.878126656696274238e-02,6.629358266544853155e-03,3.965192292929358049e-03,-1.456488556539484343e-03
8.467892560824150441e-03,-9.612210805496647081e-01,-4.474761526957239666e-02,7.649259538320984410e-03,4.575221876456951262e-03,-1.680563719084020345e-03
9.677591498084742866e-03,-9.556812349139025553e-01,-5.114013173665416662e-02,8.742010900938268145e-03,5.228825001665087652e-03,-1.920644250381737476e-03
1.096793703116270835e-02,-9.497720662357561627e-01,-5.795881596820805920e-02,9.907612354396704360e-03,5.926001668553766352e-03,-2.176730150432635950e-03
1.233892916005804689e-02,-9.434935745152256414e-01,-6.520366796423407441e-02,1.114606389869629219e-02,6.666751877122987363e-03,-2.448821419236715553e-03
1.379056788477075850e-02,-9.368457597523109914e-01,-7.287468772473219836e-02,1.245736553383703163e-02,7.451075627372750684e-03,-2.736918056793976282e-03
