1,12,0.39974
1,13,0.45156
2,3,0.4036
2,4,0.49476
2,6,0.24599
2,11,0.20791
2,12,0.34862
2,17,0.23539
2,20,0.4927
3,4,0.15015
3,6,0.23335
3,8,0.15314
3,11,0.48686
3,15,0.36323
3,17,0.23578
3,20,0.14188
4,6,0.26782
4,15,0.21977
4,17,0.27571
4,19,0.16232
5,7,0.39245
5,9,0.13254
5,13,0.10073
5,14,0.19062
5,16,0.35377
5,18,0.34851
6,8,0.38434
6,11,0.25875
6,12,0.33785
6,17,0.010901
6,19,0.42938
6,20,0.36692
7,9,0.38717
7,10,0.30307
7,12,0.41325
7,13,0.4012
7,14,0.28101
7,15,0.15283
7,16,0.04891
8,17,0.38576
8,20,0.034187
8,21,0.36226
9,13,0.23148
9,14,0.28117
9,16,0.3404
9,18,0.25073
10,15,0.18166
11,12,0.14111
11,14,0.379
11,16,0.46864
11,17,0.25376
12,16,0.42619
12,17,0.33697
13,14,0.14037
13,16,0.37167
13,18,0.4217
14,15,0.43086
14,16,0.26198
14,18,0.38353
15,16,0.17101
16,19,0.4325
17,20,0.36749
19,21,0.31038
20,21,0.39526
