   0.000000,   0.100000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 0 
   0.000000,   0.100000,   0.000000,   0.000001,  -0.000001,   0.000000,   0.000001,  -0.000001,  -0.000001,   0.000001,  -0.000000,   0.000000, 0 
   0.000000,   0.100000,   0.000000,   0.000007,  -0.000002,  -0.000001,  -0.000000,  -0.000008,  -0.000008,   0.000008,  -0.000003,   0.000003, 0 
   0.000000,   0.100000,   0.000001,   0.000025,  -0.000006,  -0.000003,  -0.000001,  -0.000026,  -0.000027,   0.000027,  -0.000009,   0.000010, 0 
   0.000001,   0.100000,   0.000002,   0.000058,  -0.000014,  -0.000008,  -0.000003,  -0.000061,  -0.000063,   0.000064,  -0.000022,   0.000023, 0 
   0.000004,   0.100000,   0.000004,   0.000114,  -0.000026,  -0.000016,  -0.000007,  -0.000119,  -0.000122,   0.000124,  -0.000043,   0.000045, 0 
   0.000007,   0.100000,   0.000007,   0.000196,  -0.000045,  -0.000027,  -0.000011,  -0.000204,  -0.000211,   0.000213,  -0.000074,   0.000077, 0 
   0.000012,   0.100000,   0.000011,   0.000310,  -0.000072,  -0.000043,  -0.000018,  -0.000323,  -0.000333,   0.000337,  -0.000118,   0.000122, 0 
   0.000019,   0.100000,   0.000016,   0.000460,  -0.000107,  -0.000064,  -0.000027,  -0.000480,  -0.000495,   0.000501,  -0.000175,   0.000181, 0 
   0.000027,   0.100000,   0.000023,   0.000653,  -0.000152,  -0.000091,  -0.000038,  -0.000681,  -0.000702,   0.000711,  -0.000248,   0.000257, 0 
   0.000037,   0.100000,   0.000031,   0.000892,  -0.000207,  -0.000124,  -0.000052,  -0.000930,  -0.000958,   0.000970,  -0.000338,   0.000350, 0 
   0.000050,   0.100000,   0.000041,   0.001182,  -0.000275,  -0.000165,  -0.000069,  -0.001232,  -0.001269,   0.001285,  -0.000448,   0.000464, 0 
   0.000064,   0.100000,   0.000053,   0.001528,  -0.000355,  -0.000213,  -0.000089,  -0.001593,  -0.001639,   0.001660,  -0.000579,   0.000599, 0 
   0.000082,   0.100001,   0.000067,   0.001934,  -0.000450,  -0.000270,  -0.000113,  -0.002017,  -0.002074,   0.002099,  -0.000732,   0.000757, 0 
   0.000102,   0.100001,   0.000084,   0.002406,  -0.000560,  -0.000336,  -0.000141,  -0.002508,  -0.002576,   0.002607,  -0.000910,   0.000940, 0 
   0.000125,   0.100001,   0.000102,   0.002946,  -0.000686,  -0.000411,  -0.000172,  -0.003071,  -0.003151,   0.003187,  -0.001113,   0.001149, 0 
   0.000151,   0.100001,   0.000123,   0.003559,  -0.000830,  -0.000497,  -0.000208,  -0.003711,  -0.003801,   0.003844,  -0.001343,   0.001385, 0 
   0.000180,   0.100001,   0.000147,   0.004250,  -0.000992,  -0.000594,  -0.000248,  -0.004431,  -0.004531,   0.004580,  -0.001601,   0.001650, 0 
   0.000212,   0.100001,   0.000173,   0.005022,  -0.001173,  -0.000703,  -0.000294,  -0.005234,  -0.005344,   0.005400,  -0.001888,   0.001944, 0 
   0.000248,   0.100001,   0.000202,   0.005878,  -0.001374,  -0.000823,  -0.000344,  -0.006126,  -0.006242,   0.006304,  -0.002206,   0.002268, 0 
   0.000287,   0.100002,   0.000234,   0.006822,  -0.001597,  -0.000957,  -0.000399,  -0.007110,  -0.007228,   0.007296,  -0.002555,   0.002623, 0 
   0.000330,   0.100002,   0.000269,   0.007858,  -0.001842,  -0.001103,  -0.000459,  -0.008189,  -0.008304,   0.008377,  -0.002936,   0.003009, 0 
   0.000377,   0.100002,   0.000306,   0.008988,  -0.002111,  -0.001263,  -0.000525,  -0.009365,  -0.009471,   0.009548,  -0.003349,   0.003426, 0 
   0.000427,   0.100002,   0.000347,   0.010215,  -0.002403,  -0.001438,  -0.000597,  -0.010642,  -0.010729,   0.010809,  -0.003795,   0.003875, 0 
   0.000481,   0.100002,   0.000390,   0.011542,  -0.002721,  -0.001627,  -0.000674,  -0.012023,  -0.012080,   0.012161,  -0.004274,   0.004354, 0 
   0.000538,   0.100002,   0.000437,   0.012971,  -0.003065,  -0.001832,  -0.000758,  -0.013509,  -0.013523,   0.013603,  -0.004785,   0.004865, 0 
   0.000599,   0.100002,   0.000486,   0.014503,  -0.003436,  -0.002052,  -0.000847,  -0.015103,  -0.015057,   0.015132,  -0.005329,   0.005405, 0 
   0.000664,   0.100001,   0.000538,   0.016141,  -0.003834,  -0.002289,  -0.000943,  -0.016805,  -0.016679,   0.016747,  -0.005905,   0.005973, 0 
   0.000732,   0.100001,   0.000593,   0.017884,  -0.004262,  -0.002543,  -0.001046,  -0.018616,  -0.018387,   0.018445,  -0.006511,   0.006569, 0 
   0.000803,   0.100001,   0.000650,   0.019733,  -0.004719,  -0.002814,  -0.001154,  -0.020536,  -0.020177,   0.020220,  -0.007146,   0.007189, 0 
   0.000877,   0.100000,   0.000710,   0.021688,  -0.005207,  -0.003102,  -0.001270,  -0.022565,  -0.022044,   0.022069,  -0.007809,   0.007833, 0 
   0.000954,   0.100000,   0.000771,   0.023748,  -0.005726,  -0.003409,  -0.001391,  -0.024702,  -0.023983,   0.023984,  -0.008497,   0.008497, 0 
   0.001034,   0.099999,   0.000835,   0.025911,  -0.006277,  -0.003735,  -0.001520,  -0.026945,  -0.025987,   0.025959,  -0.009208,   0.009179, 0 
